xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx        0
00001000001110010111     2384
00001000001110010111     2400
00001000000000100101     2400
00001000000000100101     2416
00000111110010101011     2416
00000111110010101011     2432
00000111011101100110     2432
00000111011101100110     2448
00000111001111011000     2448
00000111001111011000     2464
00000111000001000100     2464
00000111000001000100     2480
00000110110010110000     2480
00000110110010110000     2496
00000110100100001111     2496
00000110100100001111     2512
00000110001110010000     2512
00000110001110010000     2528
00000101111111011111     2528
00000101111111011111     2544
00000101110000100111     2544
00000101110000100111     2560
00000101011010000111     2560
00000101011010000111     2576
00000101001011000010     2576
00000101001011000010     2592
00000100111100100001     2592
00000100111100100001     2608
00000100101101010010     2608
00000100101101010010     2624
00000100010110010001     2624
00000100010110010001     2640
00000100000110110111     2640
00000100000110110111     2656
00000011110111011000     2656
00000011110111011000     2672
00000011100111110100     2672
00000011100111110100     2688
00000011010000011011     2688
00000011010000011011     2704
00000011000000110110     2704
00000011000000110110     2720
00000010110001001000     2720
00000010110001001000     2736
00000010100001010101     2736
00000010100001010101     2752
00000010001001100111     2752
00000010001001100111     2768
00000001111001110000     2768
00000001111001110000     2784
00000001101001110111     2784
00000001101001110111     2800
00000001011001111110     2800
00000001011001111110     2816
00000001001011000110     2816
00000001001011000110     2832
00000000110011001100     2832
00000000110011001100     2848
00000000100011001101     2848
00000000100011001101     2864
00000000010011001111     2864
00000000010011001111     2880
11111111111011001110     2880
11111111111011001110     2896
11111111101100110001     2896
11111111101100110001     2912
11111111011100110011     2912
11111111011100110011     2928
11111111001100110100     2928
11111111001100110100     2944
11111110110100111010     2944
11111110110100111010     2960
11111110100110000010     2960
11111110100110000010     2976
11111110010110001001     2976
11111110010110001001     2992
11111110000110010000     2992
11111110000110010000     3008
11111101101110011110     3008
11111101101110011110     3024
11111101011110101011     3024
11111101011110101011     3040
11111101001110111000     3040
11111101001110111000     3056
11111100111111001010     3056
11111100111111001010     3072
11111100101111100101     3072
11111100101111100101     3088
11111100011000001100     3088
11111100011000001100     3104
11111100001000101000     3104
11111100001000101000     3120
11111011111001001001     3120
11111011111001001001     3136
11111011100010000010     3136
11111011100010000010     3152
11111011010010101110     3152
11111011010010101110     3168
11111011000011011111     3168
11111011000011011111     3184
11111010110100111110     3184
11111010110100111110     3200
11111010011110010110     3200
11111010011110010110     3216
11111010001111011001     3216
11111010001111011001     3232
11111010000000100001     3232
11111010000000100001     3248
11111001110001110000     3248
11111001110001110000     3264
11111001011011110001     3264
11111001011011110001     3280
11111001001101010000     3280
11111001001101010000     3296
11111000111110111100     3296
11111000111110111100     3312
11111000110000101000     3312
11111000110000101000     3328
11111000011011010111     3328
11111000011011010111     3344
11111000001101010101     3344
11111000001101010101     3360
11110111111111011011     3360
11110111111111011011     3376
11110111110001101001     3376
11110111110001101001     3392
11110111011101001110     3392
11110111011101001110     3408
11110111010000101011     3408
11110111010000101011     3424
11110111000011010111     3424
11110111000011010111     3440
11110110110110001010     3440
11110110110110001010     3456
11110110100010101000     3456
11110110100010101000     3472
11110110010101110100     3472
11110110010101110100     3488
11110110001001001010     3488
11110110001001001010     3504
11110101111100101001     3504
11110101111100101001     3520
11110101110000010111     3520
11110101110000010111     3536
11110101011110001001     3536
11110101011110001001     3552
11110101010010001011     3552
11110101010010001011     3568
11110101000110011001     3568
11110101000110011001     3584
11110100110101000010     3584
11110100110101000010     3600
11110100101110010110     3600
11110100101110010110     3616
11110100011101100001     3616
11110100011101100001     3632
11110100010010100001     3632
11110100010010100001     3648
11110100000111101110     3648
11110100000111101110     3664
11110011111101000111     3664
11110011111101000111     3680
11110011101101100100     3680
11110011101101100100     3696
11110011100011011111     3696
11110011100011011111     3712
11110011011001100010     3712
11110011011001100010     3728
11110011001111110010     3728
11110011001111110010     3744
11110011000001100000     3744
11110011000001100000     3760
11110010111000010001     3760
11110010111000010001     3776
11110010101111001111     3776
11110010101111001111     3792
11110010100110011001     3792
11110010100110011001     3808
11110010011110010011     3808
11110010011110010011     3824
11110010010001110000     3824
11110010010001110000     3840
11110010001001101001     3840
11110010001001101001     3856
11110010000001110001     3856
11110010000001110001     3872
11110001110110010100     3872
11110001110110010100     3888
11110001101110111110     3888
11110001101110111110     3904
11110001100111110111     3904
11110001100111110111     3920
11110001100000111111     3920
11110001100000111111     3936
11110001011010010110     3936
11110001011010010110     3952
11110001010000110000     3952
11110001010000110000     3968
11110001001010101010     3968
11110001001010101010     3984
11110001000100110000     3984
11110001000100110000     4000
11110000111100011001     4000
11110000111100011001     4016
11110000110111000111     4016
11110000110111000111     4032
11110000110010010000     4032
11110000110010010000     4048
11110000101101011100     4048
11110000101101011100     4064
11110000100110101001     4064
11110000100110101001     4080
11110000100010011001     4080
11110000100010011001     4096
11110000011110011011     4096
11110000011110011011     4112
11110000011010101100     4112
11110000011010101100     4128
11110000010101100011     4128
11110000010101100011     4144
11110000010010011010     4144
11110000010010011010     4160
11110000001111100010     4160
11110000001111100010     4176
11110000001100111000     4176
11110000001100111000     4192
11110000001001011000     4192
11110000001001011000     4208
11110000000111011000     4208
11110000000111011000     4224
11110000000101100110     4224
11110000000101100110     4240
11110000000100000110     4240
11110000000100000110     4256
11110000000010110110     4256
11110000000010110110     4272
11110000000001011010     4272
11110000000001011010     4288
11110000000000101110     4288
11110000000000101110     4304
11110000000000010100     4304
11110000000000010100     4320
11110000000000001000     4320
11110000000000001000     4336
11110000000000010100     4336
11110000000000010100     4352
11110000000000101110     4352
11110000000000101110     4368
11110000000001011010     4368
11110000000001011010     4384
11110000000010110110     4384
11110000000010110110     4400
11110000000100000110     4400
11110000000100000110     4416
11110000000101100110     4416
11110000000101100110     4432
11110000000111011000     4432
11110000000111011000     4448
11110000001010100000     4448
11110000001010100000     4464
11110000001100111000     4464
11110000001100111000     4480
11110000001111100010     4480
11110000001111100010     4496
11110000010010011010     4496
11110000010010011010     4512
11110000010101100011     4512
11110000010101100011     4528
11110000011010101100     4528
11110000011010101100     4544
11110000011110011011     4544
11110000011110011011     4560
